marco e il nonno preparano l’occorrente per la pesca||||MARCO+NONNO+OCCORRENTE+PREPARARE+(PRESENTE)+PESCA
il topo di campagna si allarmò ma il cugino di città disse.||||TOPO+CAMPAGNA+ALLARMARSI+(PASSATO)+MA+CUGINO+CITTÀ+DIRE+(PASSATO)
non temere sono legati con due grosse catene.||||NON+TEMERE+ESSERE+(PRESENTE)+LEGATI+DUE+CATENE+GROSSE
aveva appena finito di pronunciare quella frase quand'ecco che le porte della sala si aprirono e entrarono le due grosse bestiacce.||||APPENA+FINIRE+(PASSATO)+PRONUNCIARE+(PASSATO)+FRASE+PORTE+SALA+APRIRSI+(PASSATO)+ENTRARE+(PASSATO)+DUE+BESTIE+GROSSE
i due topini fecero appena in tempo a scappare :||||DUE+TOPINI+APPENA+IN+TEMPO+SCAPPARE:
preferisco fagioli e lardo in tranquillità che dolci e marmellate in pericolo!||||PREFERIRE+(PRESENTE)+FAGIOLI+LARDO+TRANQUILLITÀ+CHE+DOLCI+MARMELLATE+PERICOLO
e tutto contento e rilassato tornò in campagna.||||CONTENTO+RILASSATO+TORNARE+(PASSATO)+CAMPAGNA
c'era una volta un vecchio nonno che non ci vedeva quasi più, ci sentiva poco e le mani gli tremavano.||||NONNO+VECCHIO+VEDERE+(PASSATO)+QUASI+NON+PIÙ,+SENTIRE+(PASSATO)+POCO,+MANI+SGEMITALARE+(PASSATO).
qualche volta quando mangiava, la minestra gli cadeva dalla bocca sulla tovaglia e per questo il figlio e la nuora non lo vollero più a tavola con loro.||||VOLTA+QUANDO+MANGIARE+(PASSATO),+MINESTRA+BOCCA+CADERE+(PASSATO)+TOVAGLIA,+PER+QUESTO+FIGLIO+NUORA+TAVOLA+LORO+ACCOMPIAGNE+(PASSATO)+VOLERE+(PASSATO)+NON+PIÙ.
il povero vecchio fu costretto a mangiare tutto solo, in un angolo presso il camino.||||VECCHIO+POVERO+ANGOLO+VICINO+CAMINO+MANGIARE+(PASSATO)+COSTRETTURA+(PASSATO)+SOLO.
un giorno che le mani gli tremavano più del solito, la scodella gli scivolò dalle mani e si ruppe in tanti pezzi.||||GIORNO+MANI+SGEMITALARE+(PASSATO)+PIÙ+NORMALE,+SCODELLA+MANI+SCIVOLARE+(PASSATO)+ROMPERE+(PASSATO)+TANTI+PEZZI.
la nuora lo rimproverò severamente ma egli chinò il capo mortificato e no disse più nulla.||||NUORA+RIMPROVERO+(PASSATO)+SEVERO,+LUI+NUORA+CAPO+ABBASSARE+(PASSATO)+E+NIENTE+DIRE+(PASSATO)+PIÙ.
la nuora gli consegnò una scodella di legno dicendogli con voce sprezzante: "questa non la romperete!".||||NUORA+SCODELLA+LEGNO+DARE+(PASSATO),+DIRE+(PASSATO)+SPREZZANTE+SEGUENTE:+“QUESTO+ROMPERE+(FUTURO)+NON”.
finita la cena il nipotino stava cercando di riattaccare i pezzi della ciotola.||||CENA+FINIRE+(PASSATO),+BAMBINO+CERCARE+(PASSATO)+RIATTACCARE+PEZZI+CIOTOLA.
i genitori lo videro e gli chiesero cosa stesse facendo.||||GENITORI+VEDERE+(PASSATO),+CHIEDERE+(PASSATO)+LUI+FARE+(PRESENT)+COSA.
il bambino rispose che stava attaccando i pezzi della ciotola per dare a loro da mangiare quando sarebbero diventati vecchi.||||BAMBINO+RISPONDERE+(PASSATO),+DIRE+(PASSATO)+RIATTACCARE+PEZZI+CIOTOLA,+DARE+LORO+MANGIARE+(FUTURO)+QUANDO+VECCHIO+DIVENTARE+(FUTURO).
i genitori si guardarono negli occhi commossi e scoppiarono a piangere.||||GENITORI+GUARDARE+(PASSATO)+OCCHI+COMMOSSO,+PIANGERE+INIZIARE+(PASSATO).
da quel giorno ripresero il nonno a tavola rispettandolo e amandolo sempre di più.||||QUEL+GIORNO+TAVOLA+ACCOMPIAGNE+(PASSATO)+NUOVO+NONNO,+RISPETTARE+(PASSATO)+E+AMARE+(PASSATO)+PIÙ+SEMPRE.
la mamma chiede a lorenzo di andare al negozio vicino a casa a prendere una tavoletta di cioccolato, per poter finire la torta che sta preparando.||||MAMMA+LORENZO+(CHIEDERE)+NEGOZIO+CASA+VICINO+TAVOLETTA+CIOCCOLATO+(ANDARE)+(PRENDERE)+TORTA+(FINIRE)+(PREPARARE)
lorenzo accetta volentieri di aiutare la mamma, così si avvia al negozio e acquista il cioccolato.||||LORENZO+MAMMA+(ACCETTARE)+(AIUTARE)+NEGOZIO+CIOCCOLATO+(AVVIARE)+(ACQUISTARE)
tornando verso casa, però, incontra degli amici che stanno giocando a calcio, così si mette il cioccolato nella tasca dei pantaloni e si unisce a loro.||||LORENZO+CASA+(TORNARE)+AMICI+CALCIO+(GIOCARE)+CIOCCOLATO+TASCA+PANTALONI+(METTERE)+(UNIRSI)
quando lorenzo arriva a casa e mette la mano in tasca per dare il cioccolato alla mamma, ha una brutta sorpresa: il cioccolato si è sciolto e i pantaloni sono macchiati!||||LORENZO+CASA+(ARRIVARE)+MANO+TASCA+CIOCCOLATO+MAMMA+(DARE)+SORPRESA+BRUTTA+CIOCCOLATO+(SCIOLTERE)+PANTALONI+(MACCHIARE)
la mamma manda lorenzo ad acquistare un’altra tavoletta di cioccolato e mette i pantaloni in lavatrice.||||MAMMA+LORENZO+(MANDARE)+TAVOLETTA+CIOCCOLATO+(ACQUISTARE)+PANTALONI+LAVATRICE+(METTERE)
l'omino di latta era un omino triste triste.||||OMENO+LATTINA+OMENO+TRISTE+TRISTE+(PASSATO)
ovunque andava, tutti ridevano di lui.||||OVUNQUE+(PASSATO)+ANDARE+TUTTI+RIDERE+OMENO
con tutto il rumore che faceva ogni volta che camminava per la strada, spesso i bambini lo prendevano in giro;||||RUMORE+(PASSATO)+FARE+OGNI_VOLTA+STRADA+CAMMINARE+BAMBINO+PRENDERE+GIRO
quelli più cattivi, addirittura, gli gettavano sassi.||||BAMBINO+CATTIVO+PIÙ+SASSO+GETTARE
l'omino di latta era quindi costretto a non uscire quasi mai.||||OMENO+LATTINA+QUASI_MAI+USCIRE+(PASSATO)+COSTRETTO
la sua casetta era per lui un rifugio ideale, quello da cui si sentiva al riparo dal mondo esterno.||||CASETTA+SUO+RIFUGIO+IDEALE+(PASSATO)+ESSERE+MONDO+ESTERNO+RIPARO+SENTIRE
le finestre erano piccoline, ma bastavano per osservare ciò che accadeva al di fuori.||||FINESTRA+PICCOLO+OSSERVARE+BASTARE+(PASSATO)+FUORI+ACCADERE
aveva tutto ciò di cui poteva aver bisogno;||||TUTTO+AVERE+(PASSATO)+BISOGNO+POTERE
il suo unico problema era che si sentiva molto solo.||||PROBLEMA+UNICO+SENTIRE+SOLO+MOLTO
un giorno, mentre si trovava nell'ingresso della sua casetta, si fermò e rimase di stucco.||||GIORNO+UNO+INGRESSO+CASETTA+SUO+TROVARE+(PASSATO)+FERMARE+(PASSATO)+STUCCO+RESTARE
incredibile! notò una porta, mai vista prima di allora, di colore rosso, con una bella maniglia dorata.||||PORTA+NOTARE+(PASSATO)+ROSA+MANIGLIA+BELLA+DORATO+MAI+VEDERE+(PASSATO)+PRIMA
"che significa tutto questo?" pensò tra sè e sè, indeciso se aprirla oppure no.||||TUTTO+QUESTO+SIGNIFICARE+CHE+PENSARE+(PASSATO)+INDECISO+APRIRE+SI+O+NO
alla fine si fece coraggio e la spinse piano piano.||||CHECK_CORAGGIO+FARE+(PASSATO)+PORTA+SPINGERE+PIANO+PIANO
la porta con un leggero rumore si aprì completamente per poi chiudersi dietro di lui.||||PORTA+RUMORE_LEGGERO+APRIRSI(COMPLETAMENTE)(PASSATO)+CHIUDERSI(DIETRO_LUI)(PASSATO)
"ma dove sono?" si domandò l'omino, tremando un po' per la paura.||||"DOVE_SONO?"+CHIEDERSI(PASSATO)(OMINO)+TREMARE(UN_PO')(PASSATO)(PER_PAURA)
all'improvviso vide una luce verde provenire da lontano.||||IMPROVVISO+VEDERE(PASSATO)(LUCE_VERDE)+PROVENIRE(LONTANO)(PASSATO)
all'inizio era una specie di chiarore molto debole, poi diventò sempre più forte, fino quasi ad abbagliare tutta la stanza.||||INIZIO+ESSERE(PASSATO)(CHIARORE_DEBOLE)+DIVENTARE(SEMPRE_PIÙ_FORTE)(PASSATO)+ABBAGLIARE(QUASI)(PASSATO)(STANZA)
l'omino di latta pensò di esser diventato matto.||||PENSARE(PASSATO)(OMINO_DI_LATTA)+DIVENTARE(MATTO)(PASSATO)
"povero me!" piagnucolava, "ora non sono più al sicuro neanche a casa mia!".||||"POVERO_ME!"+PIAGNUCOLARE(PASSATO)+"ORA+NON+ESSERE_SICURO+(PIÙ)+CASA_MIA"
non fece in tempo a finire la frase, che subito ebbe un altro grande spavento.||||NON_FARE(TEMPO)(PASSATO)+FINIRE(FRASE)(PASSATO)+AVERE(SPAVENTO_GRANDE)(PASSATO)
dal fascio di luce che lo abbagliava uscirono delle marionette variopinte.||||FASCIO_LUCE+ABBAGLIARE(PASSATO)(LO)+USCIRE(PASSATO)(MARIONETTE_VARIOPINTE)
erano fatte in più modi: alcune di cartone, altre di latta, proprio come lui, altre ancora di legno.||||ESSERE_FATTO(PASSATO)(MODO_DIVERSO)+CARTONE+LATTA+LEGNO
erano così numerose che in un attimo riempirono tutta la stanza.||||ESSERE_NUMEROSE(PASSATO)+RIEMPIRE(ATTIMO)(PASSATO)(STANZA)
il nostro omino era a dir poco terrorizzato.||||OMINO_NOSTRO+ESSERE(TERRORIZZATO)(PASSATO)
"ma ... ma... che succede? cosa volete da me?" cominciò a chiedere.||||"MA+MA+CHE_SUCCEDERE?+COSA_VOLERE?+DA_ME?"+CHIEDERE(INIZIARE)(PASSATO)
le marionette si misero tutte intorno a lui e insieme gli dissero: "non aver paura!||||MARIONETTA+TUTTO+INTORNO+LUI+INSIEME+(PASSATO)+DIRE:+NON+AVERE+PAURA
siamo qui per aiutarti! se ci accetterai come tuoi amici, sarai felice per sempre!".||||NOI+QUI+PER+AIUTARE+SE+ACCETTARE+(FUTURO)+NOI+COME+AMICO+TUOI,+ESSERE+(FUTURO)+FELICE+SEMPRE
l'omino di latta voleva indietreggiare, scappar via, ma questo non gli era possibile.||||OMINO+LATTA+VOLERE+(PASSATO)+INDIETREGGIARE+SCAPPARE,+MA+QUESTO+NON+POSSIBILE
le marionette capirono che l'omino di latta aveva una gran paura e lo tranquillizzarono dicendo:||||MARIONETTA+CAPIRE+(PASSATO)+OMINO+LATTA+ESSERE+(PASSATO)+AVERE+PAURA+GRANDE+E+TRANQUILLIZZARE+(PASSATO)+DIRE:
"siamo qui per farti compagnia! vedrai, ci divertiremo insieme! non avrai più bisogno di uscire di casa,||||NOI+QUI+PER+FARE+(FUTURO)+COMPAGNIA+VEDERE+(FUTURO),+DIVERTIRE+(FUTURO)+INSIEME+NON+AVERE+(FUTURO)+BISOGNO+USCIRE+CASA
ormai ci siamo noi e tutto andrà benone!".||||ORMAI+NOI+QUI+E+TUTTO+ANDARE+(FUTURO)+BENE
e subito si misero al lavoro.||||E+SUBITO+LAVORARE+(PASSATO)
un gruppo di esse si dette da fare per creare uno spazio da usare come prato.||||UN+GRUPPO+LORO+FARE+(PASSATO)+CREARE+SPAZIO+USARE+COME+PRATO
altre si misero a costruire altalene, scivoli e ogni altra forma di divertimento adatta per stare all'aperto.||||ALTRO+COSTRUIRE+(PASSATO)+ALTALANE+SCIVOLO+DIVERTIMENTO+FORMA+OGNI+ADATTO+ESSERE+(PRESENTE)+ALL'APERTO
una marionetta creò delle luci speciali, grazie ad un particolare fluido magico che usciva dalle sue mani,||||MARIONETTA+CREARE+(PASSATO)+LUCE+SPECIALE,+GRAZIE+FLUIDO+MAGICO+PARTICOLARE+USCIRE+(PASSATO)+MANO
e di colpo la stanza si illuminò completamente; sembrava proprio di stare in pieno giorno all'aria aperta!||||E+IMPROVVISO+STANZA+ILLUMINARE+(PASSATO)+COMPLETAMENTE;+SEMBRARE+(PASSATO)+ESSERE+(PASSATO)+GIORNO+PIENO+ALL'ARIA+APERTA
una marionetta bambina aveva portato con sé rose e viole per rallegrare il prato, e così l'aria cominciò a profumare di fiori.||||MARIONETTA+BAMBINA+ROSE+VIOLE+PORTARE+(PASSATO)+PRATO+RALLEGRARE+(PASSATO)+ARIA+FIORI+PROFUMARE+(PASSATO)
in men che non si dica le marionette trasformarono il luogo buio e solitario, in cui aveva vissuto fino ad allora l'omino di latta, in uno splendido giardino con tanti divertimenti.||||MARIONETTE+LUOGO+BUIO+SOLITARIO+TRASFORMARE+(PASSATO)+OMINO+DI+LATTA+VIVERE+(PASSATO)+GIARDINO+SPLENDIDO+DIVERTIMENTI
"e sarà così per sempre!" disse la marionettabambina all'omino.||||MARIONETTA+BAMBINA+OMINO+DIRE+(PASSATO)+SEMPRE+COSÌ
"d'ora in poi tu riderai e giocherai con noi, vuoi?".||||TU+RIDERE+(FUTURO)+GIOCARE+(FUTURO)+NOI+CHIEDERE
l'omino di latta trovò il coraggio di sorridere, e la marionettabambina lo prese per mano.||||OMINO+DI+LATTA+CORAGGIO+TROVARE+(PASSATO)+SORRIDERE+(PASSATO)+MARIONETTA+BAMBINA+MANO+PRENDERE+(PASSATO)
da quel momento in poi, per giorni e giorni, fu un continuo susseguirsi di risate, giochi e buon umore.||||DA+QUEL+MOMENTO+GIORNI+GIORNI+CONTINUO+SUCCEDERE+(PASSATO)+RISATE+GIOCHI+BUON+UMORE
l'omino di latta era sempre al centro dell'attenzione, e tutte le marionette cercavano di farlo sentire a suo agio.||||OMINO+DI+LATTA+CENTRO+ATTENZIONE+SEMPRE+MARIONETTE+CERCARE+(PASSATO)+SENTIRE+AGIO
ben presto, però, nelle strade della città si cominciò a notare la sua assenza.||||PRESTO+STRADE+CITTÀ+COMINCIARE+(PASSATO)+NOTARE+(PASSATO)+SUO+ASSENZA
i bambini e i grandi iniziavano a chiedersi perché non lo si vedesse più da nessuna parte.||||BAMBINI+GRANDI+INIZIARE+(PASSATO)+CHIEDERE+(PASSATO)+PERCHÉ+NON+VEDERE+(PASSATO)+DA+NESSUNA+PARTE
alcuni bambini cattivi dicevano: "beh, si vede che le nostre sassate lo hanno sistemato a dovere!".||||BAMBINO+CATTIVO+(PASSATO)+DIRE:+"NOI+SASSATA+LUI+SISTEMARE+BENE!"
quelli più buoni dicevano: "sentiamo la sua mancanza! era così tenero e buffo!".||||BAMBINO+BUONO+(PASSATO)+DIRE:+"NOI+SENTIRE+MANCANZA+LUI!+LUI+ESSERE+TENERO+BUFFO!"
un giorno un bambino, particolarmente preoccupato per la sua assenza prolungata, andò davanti alla sua casetta.||||GIORNO+BAMBINO+PREOCCUPATO+ASSENZA+PROLUNGATA+LUI+(PASSATO)+ANDARE+DAVANTI+CASA+LUI
notò subito un'aria diversa, come se tutta la casina fosse circondata da un alone di mistero.||||LUI+NOTARE+SUBITO+ARIA+DIVERSA,+COME+SE+CASA+CIRCONDARE+ALONE+MISTERO
da lontano, inoltre, sentiva un rumore di voci in festa, di canti e allegria.||||LONTANO+LUI+SENTIRE+RUMORE+VOCE+FESTA,+CANTO+ALLEGRIA
"che strano!" pensò il bambino, "sembra quasi che il tempo qui si sia fermato!".||||BAMBINO+PENSARE:+"STRANO!+SEMBRARE+TEMPO+QUI+FERMARE!"
stava per andar via, quando udì una vocina che canticchiava in lontananza: "come si sta bene, come si sta bene, tutti insieme all'omino di latta!".||||BAMBINO+(PASSATO)+STARE+PER+ANDARE+VIA,+UDIRE+VOCE+CANTICCHIARE+LONTANO:+"COME+ESSERE+BENE,+COME+ESSERE+BENE,+TUTTI+INSIEME+UOMO+LATTINA!"
il bambino non era sicuro di aver capito bene; si voltò verso la casina per vedere meglio cosa succedeva.||||BAMBINO+NON+ESSERE+SICURO+CAPIRE+BENE;+VOLGERE+VERSO+CASA+VEDERE+MEGLIO+COSA+SUCCEDERE.
e, prima di riuscire a capire cosa stava accadendo, fu avvolto da un bagliore di luce verde e fu trasportato all'interno della casetta.||||BAGLIORE+LUCE+VERDE+TRASPORTARE+(PASSATO)+CASA+INTERNO
qui venne a trovarsi in mezzo a tante simpatiche marionette e all'omino di latta.||||MARIONETTE+SIMPATICHE+TANTE+UOMO+LATTA+IN+MEZZO+TROVARE+(PASSATO)
"dunque sei a casa!" gli disse il bambino.||||BAMBINO+CASA+ESSERE+(PRESENTE)+DIRE+(PASSATO)
"ero sinceramente preoccupato per te, ma vedo che stai bene!".||||PREOCCUPARE+(PASSATO)+SINCERO+BENE+STARE+(PRESENTE)+VEDERE+(PRESENTE)
l'omino di latta non ebbe il tempo di rispondere, perché le marionette lo presero per mano per fare un bel girotondo.||||UOMO+LATTA+TEMPO+NON+AVERE+(PASSATO)+MARIONETTE+PRENDERE+(PASSATO)+MANO+GIROTONDO+FARE+(FUTURO)
la marionetta bambina si voltò verso il bambino e gli chiese: "vuoi unirti a noi?", e lui accettò con gioia.||||MARIONETTA+BAMBINA+BAMBINO+VOLTARE+(PASSATO)+CHIEDERE+(PASSATO)+UNIRSI+VOLERE+(PRESENTE)+NOI+ACCETTARE+(PASSATO)+GIOIA
quando il girotondo fu terminato, egli disse all'omino di latta: "a nome di tutti gli altri bambini, ti voglio dire che ci sei mancato tanto! e voglio anche chiederti scusa da parte dei bambini più cattivi, che ti facevano sempre piangere!".||||GIROTONDO+TERMINARE+(PASSATO)+UOMO+LATTA+DIRE+(PASSATO)+SUA+PARTE+BAMBINI+ALTRI+MANCARE+TANTO+(PASSATO)+SCUSA+CHIEDERE+(FUTURO)+BAMBINI+CATTIVI+PIANGERE+FAR+(PASSATO)+SEMPRE
l'omino di latta gli rispose: "adesso non preoccuparti più!||||OMINOLATTA+RISPONDERE+(PASSATO):+"ADESSO+NON+PREOCCUPARE+PIÙ!
come vedi ho trovato nuovi amici che staranno per sempre qui con me,||||VEDERE+(PASSATO)+TROVARE+(PASSATO)+AMICI+NUOVI+STAR+(FUTURO)+SEMPRE+QUI+ME,
e ormai sto bene!".||||ORMAI+ESSERE+(PASSATO)+BENE!"
il bambino salutò tutti e andò via.||||BAMBINO+SALUTARE+(PASSATO)+ANDARE+(PASSATO)
ma non poté fare a meno di raccontare ai suoi amici la sua incredibile avventura.||||MA+NON+POTERE+(PASSATO)+NON+FARE+MENO+DI+RACCONTARE+(PASSATO)+SUOI+AMICI+AVVENTURA
lui stesso pensava di aver vissuto un meraviglioso sogno!||||LUI+STESSO+PENSARE+(PASSATO)+VIVERE+(PASSATO)+SOGNO+MERAVIGLIOSO!
fu così che da quel giorno in poi decine di bambini,||||ESSERE+(PASSATO)+COSÌ+DA+QUEL+GIORNO+IN+POI+DECINE+BAMBINI,
amici dell'omino di latta, andarono a trovarlo nella sua casetta||||AMICI+OMINOLATTA+ANDARE+(PASSATO)+TROVARE+(PASSATO)+SUA+CASETTA
e si divertivano un mondo, insieme a tutte le marionette.||||E+DIVERTIRSI+(PASSATO)+MOLTO+INSIEME+TUTTE+MARIONETTE.
ormai tutti i bambini erano felici solo se potevano giocare con l'omino,||||ORMAI+TUTTI+BAMBINI+ESSERE+FELICI+(PASSATO)+SOLO+POTERE+(PASSATO)+GIOCARE+OMINO,
e da allora la sua casina diventò la più famosa di tutta la città.||||E+DA+ALLORA+SUA+CASINA+DIVENTARE+(PASSATO)+PIÙ+FAMOSA+TUTTA+CITTÀ.
su, bambini e bambine dal lettino bisogna uscire.||||LETTINO+BAMBINO/BAMBINA+(USCIRE)(PASSATO)
e' arrivato il mattino e alla scuola bisogna andare.||||MATTINO+SCUOLA+(ANDARE)(PASSATO)
drin!! drin!!||||SVEGLIA+SUONARE
e' il suono della sveglia!||||SVEGLIA+SUONARE
alle 8,00 in punto suona e pina e pinuccio si alzano in un baleno!||||8:00+SVEGLIA+SUONARE+PINA+PINUCCIO+(ALZARSI)(PASSATO)
svelti, svelti loro vanno a lavarsi nei bagnetti.||||PIDOCCHI+BAGNETTO+(LAVARSI)(PASSATO)
quello rosa è di pina, mentre è azzurro quello di pinuccio.||||BAGNETTO+ROSA+PINA+BAGNETTO+AZZURRO+PINUCCIO
pigiamini stan togliendo, per lavarsi bene, bene.||||PIGIAMINO+(TOGLIERE)(PASSATO)+BENE
ecco l'acqua della doccia, sta venendo calda, calda e il sapone tra le mani la schiuma sta facendo.||||DOCCIA+ACQUA+CALDO+SAPONE+MANO+SCHIUMA+(VENIRE)(PASSATO)+CALDO
mani e piedi col visino sempre puliti e profumati.||||MANO+PIEDE+VISO+PULITO+PROFUMATO
con in mano lo spazzolino vanno a prendere il dentifricio, denti bianchi e splendenti loro hanno!||||SPAZZOLINO+MANO+(PRENDERE)(PASSATO)+DENTIFRICIO+DENTE+BIANCO+SPLENDENTE
in un lampo usciti dai bagnetti sia pina che pinuccio sono pronti per vestirsi da scolaretti.||||BAGNETTO+(USCIRE)(PASSATO)+PINA+PINUCCIO+PRONTO+(VESTIRSI)(PASSATO)+SCOLARETTO
e una corsa loro fanno, per arrivare in cucina.||||(FARE)(PASSATO)+CORSA+CUCINA+(ARRIVARE)(PASSATO)
dove le tazzone con il latte e i biscotti, stan sul tavolo ad aspettarli per la colazione.||||TAZZONE+LATTE+BISCOTTI+TAVOLO+(FUTURO)ASPETTARE+COLAZIONE
mangiano svelti e felici.||||SVELTO+FELICE+MANGIARE(PRESENTE)
grembiulino per pina tutto rosa con un fiocco variopinto con lo zaino sulle spalle; sta aspettando pinuccio che è in arrivo con il grembiulino tutto azzurro e il fiocco tutto storto.||||GREMBIULINO+ROSA+FIUCCO+VARIOPIANTO+ZAINO+SPALLE+PINA+(FUTURO)ASPETTARE+GREMBIULINO+AZZURRO+FIUCCO+STORTO+ZAINO+SPALLE+ARRIVO+PINUCCIO
anche lui ha lo zaino tra le mani in attesa del pulmino.||||ANCHE+PULMINO+(FUTURO)ASPETTARE+ZAINO+MANI
popi, popi è arrivato il pulmino, un bacio alla mamma e a scuola allegri vanno.||||ARRIVO+PULMINO+POP+POP+BACIO+MAMMA+SCUOLA+ALLEGRO+ANDARE(PASSATO)
la giornata è incominciata, la campana è suonata e la scuola è iniziata.||||INIZIO+GIORNATA+SUONO+CAMPANA+INIZIO+SCUOLA
pina e pinuccio, tra i libri e i quaderni nelle ore della scuola scrivono, disegnano e imparano cose nuove e interessanti.||||PINA+PINUCCIO+LIBRO+QUADERNO+ORE+SCUOLA+SCRIVERE(PRESENTE)+DISEGNARE(PRESENTE)+IMPARARE(PRESENTE)+COSE+NUOVE+INTERESSANTE
la campana è suonata son finite le lezioni, tutti gridano di gioia.||||SUONO+CAMPANA+FINE+LEZIONE+TUTTI+GRIDARE+GIOIA
corrono fuori in attesa del pulmino che li porta dalla mamma che li aspetta nella casa, per far pranzo tutti insieme.||||FUORI+CORRERE(PRESENTE)+PULMINO+(FUTURO)ARRIVARE+CASA+MAMMA+(FUTURO)ASPETTARE+PRANZO+TUTTI+INSIEME
son arrivati, nella casa e subito corrono al bagno a lavarsi le manine.||||ARRIVARE(PASSATO)+CASA+BAGNO+MANINE+LAVARE(PRESENTE)
sulla tavola tutto è pronto mancano solo i nostri amici.||||TAVOLA+TUTTO+PRONTO+AMICI+MANCARE(PRESENTE)
mangiano svelti e composti tutto il cibo preparato.||||CIBO+PREPARARE(PASSATO)+MANGIARE(PRESENTE)
ora è tempo di riposare, per il sonnellino pomeridiano.||||TEMPO+SONNELLINO+POMERIDIANO+RIPOSARE(PRESENTE)
al risveglio sia pina che pinuccio vanno a fare i compiti che la maestra ha assegnato.||||RISVEGLIO+PINA+PINUCCIO+COMPITI+MAESTRA+ASSEGNARE(PASSATO)+ANDARE(PRESENTE)
ecco: i compiti son finiti, ora vanno a giocare nel giardino dei balocchi.||||COMPITI+FINIRE(PASSATO)+ORA+GIARDINO+BALOCCHI+GIOCARE(PRESENTE)
la giornata sta finendo e la cena è già pronta.||||GIORNATA+FINIRE(PRESENTE)+CENA+PRONTO
svelti, svelti mangiano, a letto loro vanno.||||MANGIARE(PRESENTE)+LETTO+ANDARE(PRESENTE)
un bacio alla mamma e uno al papà, che gli cantano la ninna nanna per addormentarsi con i sogni più belli.||||BACIO+MAMMA+PAPA+NINNA+NANNA+CANTARE(PRESENTE)+ADDORMENTARE(PRESENTE)+SOGNI+BELLO
è autunno e i prati del parco sono ricoperti di foglie secche.||||AUTUNNO+PRATO+PARCO+FOGLIA+SECCA+(COPRIRE)
pino, il giardiniere, le raccoglie con un grande rastrello e le sistema tutte vicino al cancello.||||PINO+GIARDINIERE+FOLGIA+(RACCOGLIERE+(PASSATO))+RASTRELLO+GRANDE+CANCELLO+(SISTEMARE+(PASSATO))
ormai si è formata una vera e propria montagna di foglie!||||FOLGIA+MONTAGNA+(FORMARE+(PASSATO))
a un certo punto, vicino al cespuglio, vede un mucchietto di ghiande e sta attento a non toccarle,||||CESPUGLIO+VICINO+MUCCHIETTO+GHIANDA+(VEDERE+(PASSATO))+GHIANDA+(TOCCARE+(FUTURO))+(NON)(ATTENTO+STESSO)
perché capisce che appartengono a qualche piccolo animale che le ha raccolte con cura.||||PICCOLO+ANIMALE+GHIANDA+(APPARTENERE)+GHIANDA+(RACCOGLIERE+(PASSATO))+CURA
pino termina il suo lavoro: ormai tutte le foglie sono state raccolte.||||PINO+FOLGIA+(RACCOGLIERE+(PASSATO))+LAVORO+(TERMINARE+(PASSATO))
sul prato è rimasto solo il mucchietto di ghiande.||||PRATO+SU+MUCCHIETTO+GHIANDA+(RIMANERE+(PASSATO))
prima di andarsene dal parco, pino vede uno scoiattolo che si avvicina alle ghiande…||||PINO+SCOIATTOLO+(VEDERE+(PASSATO))+GHIANDA+(AVVICINARE+(PASSATO))
voleva controllare che nessuno gliele avesse portate via.||||PORTARE+(PASSATO)+(VIA)+GHIANDA+(CONTROLLARE+(PASSATO))
un giorno una colomba scese a dissetarsi nell'acqua chiara e fresca di un ruscello.||||GIORNO+COLOMBA+ACQUA+CHIARA+FRESCA+RUSCELLO+(SCENDERE)(PASSATO)
ad un tratto vide una formica che era caduta dentro una pozza d'acqua.||||SUBITO+FORMICA+POZZA+ACQUA+(VEDERE)(PASSATO)+(CADERE)(PASSATO)
per la sfortunata formica quell'acqua era come un immenso oceano dalle onde smisurate.||||FORMICA+SFORTUNATA+ACQUA+OCEANO+IMMENSO+ONDE+SMISURATE+(ESSERE)(PASSATO)
la formichina agitando le zampine sottili, si sforzava di tornare verso la sponda che a lei sembrava lontanissima.||||FORMICHINA+ZAMPINE+SOTTILI+(AGITARE)(PASSATO)+SPONDA+LONTANISSIMA+(SFORZARSI)(PASSATO)
finalmente vide un filo d'erba, cercò di muoversi fino a raggiungerlo e con un grande sforzo riuscì ad aggraparsi al filo.||||FINALMENTE+FILO+ERBA+(VEDERE)(PASSATO)+FILLO+ERBA+(RAGGIUNGERE)(PASSATO)+GRANDE+SFORZO+(AGGRAPPARSI)(PASSATO)
era stata la colomba che glielo aveva buttato perché potesse salvarsi.||||COLOMBA+FILO+ERBA+(BUTTARE)(PASSATO)+SALVARE
in quel momento un ragazzaccio che correva a piedi nudi sull'erba, passò lì vicino.||||MOMENTO+QUELLO+RAGAZZACCIO+PIEDI+NUDI+ERBA+(CORRERE)(PASSATO)+LÌ+VICINO+(PASSARE)(PASSATO)
in mano aveva un arco che si era fabbricato da sé con un ramo flessibile, un pezzo di spago e una freccia che aveva intagliato con un coltellino da un pezzo di legno.||||MANO+ARCO+RAMO+FLESSIBILE+PEZZO+SPAGO+FRECCIA+COLTELLINO+PEZZO+LEGNO+(FABBRICARE)(PASSATO)+FRECCIA+(INTAGLIARE)(PASSATO)
vedendo la colombella, pensò "che magnifica preda!" e si preparò||||COLOMBELLA+PENSIERO("MAGNIFICA+PRED")+(PREPARARE)FUTURO
per scoccare la freccia e colpirla a morte.||||FRECCIA+SCAGLIARE+COLPIRE(A+MORTE)
